sweep,seed,n_local,beta_over_mu,lambda_reg,kappa_g,algorithm,mix_rounds,grad_evals_per_node,reached,avg_sq,gap
beta_over_mu,0,1600.0,240.1,,,ACC-SONATA-F,3120,911,True,9.75e-05,4.84e-05
beta_over_mu,1,1600.0,256.3,,,EXTRA,33692,33692,True,0.0001,4.98e-05
beta_over_mu,1,1600.0,256.3,,,GradientTracking,50000,25001,False,0.168,0.0834
beta_over_mu,1,1600.0,256.3,,,MUDAG,43049,10763,True,0.0001,4.98e-05
beta_over_mu,1,1600.0,256.3,,,ACC-SONATA-L,9072,2593,True,9.95e-05,4.95e-05
beta_over_mu,1,1600.0,256.3,,,ACC-SONATA-F,3912,1142,True,9.62e-05,4.79e-05
beta_over_mu,2,1600.0,228.2,,,EXTRA,16800,16800,True,0.0001,5.02e-05
beta_over_mu,2,1600.0,228.2,,,GradientTracking,50000,25001,False,0.000457,0.000229
beta_over_mu,2,1600.0,228.2,,,MUDAG,21785,5447,True,9.99e-05,5.02e-05
beta_over_mu,2,1600.0,228.2,,,ACC-SONATA-L,4928,1409,True,9.77e-05,4.91e-05
beta_over_mu,2,1600.0,228.2,,,ACC-SONATA-F,1968,575,True,9.51e-05,4.78e-05
kappa,0,,,0.0,1021.0,EXTRA,29818,29818,True,0.0001,4.9e-05
kappa,0,,,0.0,1021.0,GradientTracking,50000,25001,False,0.0269,0.0132
kappa,0,,,0.0,1021.0,MUDAG,44486,8898,True,0.0001,4.9e-05
kappa,0,,,0.0,1021.0,ACC-SONATA-L,7644,2185,True,9.84e-05,4.82e-05
kappa,0,,,0.0,1021.0,ACC-SONATA-F,3720,1086,True,9.96e-05,4.88e-05
kappa,1,,,0.0,1008.0,EXTRA,37516,37516,True,0.0001,4.93e-05
kappa,1,,,0.0,1008.0,GradientTracking,50000,25001,False,0.263,0.129
kappa,1,,,0.0,1008.0,MUDAG,43309,10828,True,0.0001,4.93e-05
kappa,1,,,0.0,1008.0,ACC-SONATA-L,9156,2617,True,9.68e-05,4.77e-05
kappa,1,,,0.0,1008.0,ACC-SONATA-F,4992,1457,True,0.0001,4.93e-05
kappa,2,,,0.0,1005.0,EXTRA,18777,18777,True,0.0001,5.05e-05
kappa,2,,,0.0,1005.0,GradientTracking,50000,25001,False,0.000787,0.000398
kappa,2,,,0.0,1005.0,MUDAG,22645,5662,True,0.0001,5.05e-05
kappa,2,,,0.0,1005.0,ACC-SONATA-L,5096,1457,True,9.77e-05,4.95e-05
kappa,2,,,0.0,1005.0,ACC-SONATA-F,2568,750,True,9.43e-05,4.76e-05
kappa,0,,,0.0001,1021.0,EXTRA,29814,29814,True,0.0001,4.9e-05
kappa,0,,,0.0001,1021.0,GradientTracking,50000,25001,False,0.0269,0.0132
kappa,0,,,0.0001,1021.0,MUDAG,44481,8897,True,0.0001,4.9e-05
